id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
Y0EPdr61,jGACcL,Andrew,Privett,CLT,D,250000.00,281400.00,2026,Spring
BHOM8NMl,ru2A0S,Archie,Goodwin,CLT,F,325000.00,366187.00,2026,Spring
GcfilkxX,IcG8LF,Ashley,Westwood,CLT,M,800000.00,833333.00,2026,Spring
Q1n2lEVn,ZT06dh,Baye,Coulibaly,CLT,M,300000.00,329500.00,2026,Spring
lQ6FPHbH,pzWJuF,Brandt,Bronico,CLT,M,500000.00,551667.00,2026,Spring
IKAAuzER,IxHodQ,Brian,Romero,CLT,F,175000.00,185833.00,2026,Spring
8qHEXHjN,wOAFU8,Chituru,Odunze,CLT,GK,125000.00,138508.00,2026,Spring
Mlib1OrY,2eTFFH,David,Schnegg,CLT,D,650000.00,756250.00,2026,Spring
UUO12F6v,zRireD,Djibril,Diani,CLT,M,350000.00,387944.00,2026,Spring
YnyEY9pv,IaVwTS,Harry,Toffolo,CLT,D,900000.00,1020000.00,2026,Spring
SQLB6Dw7,lg9JeM,Henry,Kessler,CLT,D,850000.00,965525.00,2026,Spring
K3dJ9ZUG,BMd3BX,Idan,Toklomati,CLT,F,700000.00,781500.00,2026,Spring
h7TKOvda,BCPXTJ,Isaac,Walker,CLT,GK,113400.00,121376.00,2026,Spring
XnkDOOGk,zyqc3Z,Jack,Neeley,CLT,D,140000.00,142000.00,2026,Spring
X4ZxPeYr,VPswnJ,Kerwin,Vargas,CLT,F,650000.00,733750.00,2026,Spring
ZBLzn1x2,87f2Ll,Kristijan,Kahlina,CLT,GK,775000.00,813750.00,2026,Spring
W5wTrVtf,99FASA,Liel,Abada,CLT,F,2500000.00,2648500.00,2026,Spring
kxcGacZF,cgdw2P,Luca,de la Torre,CLT,M,1457386.00,1611827.00,2026,Spring
SzfC497y,d0FqsB,Mikah,Thomas,CLT,D,88025.00,88428.00,2026,Spring
IqZAOcK3,pnPTkW,Morrison,Agyemang,CLT,D,240000.00,262080.00,2026,Spring
7uk588GL,jYKYCB,Nathan,Byrne,CLT,D,475000.00,498750.00,2026,Spring
JtJcSGCu,ejASxH,Nick,Holliday,CLT,GK,88025.00,88025.00,2026,Spring
1a4vPxLG,YdDy4k,Nimfasha,Berchimas,CLT,F,150000.00,164934.00,2026,Spring
9aP58hZc,SZbiw4,Pep,Biel,CLT,M,2775000.00,3015563.00,2026,Spring
hpY8Lce6,Iax3zA,Tim,Ream,CLT,D,1000000.00,1127750.00,2026,Spring
kkbWS9Lq,cyA3wp,Tyger,Smalls,CLT,F,113400.00,113400.00,2026,Spring
ZXxn6jMn,qeNGEl,Tyler,Miller,CLT,GK,226800.00,250925.00,2026,Spring
QYk1GOTF,fHhBTy,Wilfried,Zaha,CLT,F,2666667.00,2751667.00,2026,Spring
JMFKEsrt,83vcyy,Will,Cleary,CLT,D,88025.00,89309.00,2026,Spring
XjR5rc0w,bQvw3z,Rodolfo,Aloko,CLT,F,220000.00,251667.00,2026,Spring
cFbmdLVO,xQTIZg,Andre,Franco,CHI,M,1200000.00,1306771.00,2026,Spring
vpuj3NTZ,kFpXHv,Andrew,Gutman,CHI,D,625000.00,625000.00,2026,Spring
BttfyfZX,xkOEIt,Anton,Saletros,CHI,M,700000.00,750000.00,2026,Spring
ZlOnrDYY,78Dpi5,Chris,Mueller,CHI,F,150000.00,186600.00,2026,Spring
g8Ij89NL,jSVEZl,Chris,Brady,CHI,GK,250000.00,348333.00,2026,Spring
fQbekdMJ,fAwPr4,Christopher,Cupps,CHI,D,113400.00,116186.00,2026,Spring
HoC44te6,2PHWts,David,Poreba,CHI,M,88025.00,98858.00,2026,Spring
kxqE9v1T,jY2OJb,Dean,Boltz,CHI,F,88025.00,90025.00,2026,Spring
8y1l6bWs,LQsSNE,Dje,D'Avilla,CHI,M,573000.00,685486.00,2026,Spring
TQmC9D53,GSCEWA,Dylan,Borso,CHI,F,113400.00,121400.00,2026,Spring
1Zk5uAKW,qJ5dhG,Hugo,Cuypers,CHI,F,3238000.00,3528044.00,2026,Spring
oSjjyRnD,xXbNce,Jack,Elliott,CHI,D,960511.00,1054275.00,2026,Spring
eNt3ypUv,5e43nU,Jason,Shokalook,CHI,F,88025.00,88025.00,2026,Spring
uiVWNsJ6,TAEtpD,Jeff,Gal,CHI,GK,150000.00,165000.00,2026,Spring
YqqyNYY8,WsvaZY,Joel,Waterman,CHI,D,517000.00,598150.00,2026,Spring
jvGKWnN7,cMRRF2,Jonathan,Dean,CHI,D,175000.00,210700.00,2026,Spring
5nBbahUO,SmFbEB,Jonathan,Bamba,CHI,F,5000000.00,5581806.00,2026,Spring
C6zs5RGd,Fodh6x,Josh,Cohen,CHI,GK,165000.00,181250.00,2026,Spring
Gh4DQSra,muZsMt,Leonardo,Barroso,CHI,D,350000.00,395500.00,2026,Spring
ms7C42DC,X3GN4B,Maren,Haile-Selassie,CHI,M,444000.00,483500.00,2026,Spring
7mZ1jYyT,G0q5fh,Mauricio,Pineda,CHI,D,200000.00,320157.00,2026,Spring
xYVQgc2v,3LS7HI,Mbekezeli,Mbokazi,CHI,D,593000.00,655620.00,2026,Spring
c3X7A8wL,GVQRXX,Omari,Glasgow,CHI,M,113400.00,127085.00,2026,Spring
HFZ55F3z,UQJZzd,Philip,Zinckernagel,CHI,F,1455125.00,1635665.00,2026,Spring
wveXTB2r,CkT6by,Puso,Dithejane,CHI,F,250000.00,283252.00,2026,Spring
hnyUDWLz,Q9ooQm,Robert,Turdean,CHI,M,125000.00,157927.00,2026,Spring
e8E3nKaI,OLIavz,Robin,Lod,CHI,M,800000.00,866667.00,2026,Spring
qceaHlpH,uzbvs3,Sam,Williams,CHI,M,88025.00,99354.00,2026,Spring
EX0GkMYW,v0DcNu,Sam,Rogers,CHI,D,200000.00,223000.00,2026,Spring
JLjdJsMz,BOLhNz,Sergio,Oregel,CHI,M,350000.00,392500.00,2026,Spring
JSQeTm4m,M6XEJX,Viktor,Radojevic,CHI,D,350000.00,357000.00,2026,Spring
4DEyNH1v,7QChFP,Adam,Beaudry,COL,GK,113400.00,115900.00,2026,Spring
JanZuHiy,LUuj67,Alex,Harris,COL,F,88025.00,90025.00,2026,Spring
bD9FD7E2,839j8d,Alexis,Manyoma,COL,F,654000.00,711750.00,2026,Spring
iw2G3LLS,mE8jQh,Ali,Fadal,COL,M,113400.00,113400.00,2026,Spring
GLceza18,vsEmjA,Bryce,Jamison,COL,F,113400.00,125866.00,2026,Spring
JiTdMgfL,vjZKjR,Connor,Ronan,COL,M,510000.00,562400.00,2026,Spring
n9i7pFow,h6wMat,Dante,Sealy,COL,F,150000.00,168022.00,2026,Spring
tDBJFFRM,5ld3DF,Darren,Yapi,COL,F,795000.00,820000.00,2026,Spring
TtZS688d,B6X7Kc,Donavan,Phillip,COL,F,88025.00,88025.00,2026,Spring
CYyaoOhe,GUI1xO,Georgi,Minoungou,COL,F,113400.00,113400.00,2026,Spring
avrAU3Rj,cgk7qB,Hamzat,Ojediran,COL,M,800000.00,881667.00,2026,Spring
6xcS2R1m,4gn1yA,Ian,Murphy,COL,D,400000.00,447500.00,2026,Spring
EQPJGNqu,nwPAjB,Jackson,Travis,COL,D,125000.00,127500.00,2026,Spring
oJcwphUq,u74hIo,Josh,Atencio,COL,M,462500.00,462500.00,2026,Spring
SxeTuDYU,5fWqoD,Keegan,Rosenberry,COL,D,300000.00,300000.00,2026,Spring
Gpjwiydm,Ck5rp5,Kimani,Stewart-Baynes,COL,F,115000.00,116000.00,2026,Spring
rZzEKSFa,ZuamEc,Kosi,Thompson,COL,D,140000.00,145260.00,2026,Spring
cnYgN0Qq,cF6BMY,Lucas,Herrington,COL,D,200004.00,235004.00,2026,Spring
w55gMxt7,QT4gHu,Mamadou Billo,Diop,COL,F,88025.00,88025.00,2026,Spring
15SvDp0P,u87uEc,Miguel,Navarro,COL,D,498000.00,548781.00,2026,Spring
kYGuJK2s,MxDIJp,Nicolas,Hansen,COL,GK,160000.00,160000.00,2026,Spring
bdNNRODB,v03u0L,Noah,Cobb,COL,D,130000.04,130000.04,2026,Spring
OWe8mEzg,3Gr5oW,Paxten,Aaronson,COL,M,2000000.00,2228063.00,2026,Spring
yapexO6T,KM1k7o,Rafael,Navarro Leal,COL,F,1392000.00,1449600.00,2026,Spring
kj99re9H,2rRmy1,Reggie,Cannon,COL,D,750000.00,841500.00,2026,Spring
Fo3rmYGO,wSbaIB,Rob,Holding,COL,D,1200000.00,1200000.00,2026,Spring
xahrugGE,XlwDPf,Sydney,Wathuta,COL,M,88025.00,88025.00,2026,Spring
vO77Xpaf,W6GS6G,Theodore,Ku-DiPietro,COL,M,500000.00,556000.00,2026,Spring
5KVaMVnc,NlPOkE,Wayne,Frederick,COL,M,113400.00,113400.00,2026,Spring
X1DQBAoo,he2iVw,Zack,Steffen,COL,GK,1100000.00,1100000.00,2026,Spring
e9t2rVmi,O8r6F6,Amar,Sejdic,CLB,M,200000.00,214550.00,2026,Spring
w5MVOILV,UTbYtL,Andre,Gomes,CLB,M,875000.00,971944.00,2026,Spring
M2l6PxDJ,F7z9U4,Andres,Herrera,CLB,D,650000.00,727632.00,2026,Spring
t1axgowY,aG4JrA,Cesar,Ruvalcaba,CLB,D,113400.00,113400.00,2026,Spring
fn7LB3Go,p678YJ,Chase,Adams,CLB,F,88025.00,114303.00,2026,Spring
MiTrXZCO,ua8H3S,Cole,Mrowka,CLB,M,113400.00,133408.00,2026,Spring
Xp2yaamn,47Gge5,Daniel,Gazdag,CLB,M,2049996.00,2647635.00,2026,Spring
f94YNqzx,KNi915,Diego,Rossi,CLB,M,2775000.00,3476827.00,2026,Spring
ykou8QRT,P059nL,Dylan,Chambost,CLB,M,600000.00,695250.00,2026,Spring
xxLnvDIM,exrQp2,Evan,Bush,CLB,GK,113400.00,113400.00,2026,Spring
3gY0YxZb,NRymSl,Hugo,Picard,CLB,M,725000.00,781244.00,2026,Spring
D6Pvh734,VdIWRS,Jamal,Thiare,CLB,F,500000.00,530000.00,2026,Spring
DjLKXCvz,VBjduA,Luke,Pruter,CLB,GK,113400.00,113400.00,2026,Spring
Bro2DHH1,0bTbIs,Malte,Amundsen,CLB,D,675000.00,747500.00,2026,Spring
EeoHvy9o,vyJBzF,Max,Arfsten,CLB,F,800000.00,895000.00,2026,Spring
IQ8WNxDH,FzkVN9,Mohamed,Farsi,CLB,M,500000.00,530000.00,2026,Spring
gdMx81at,K4HSKp,Nariman,Akhundzada,CLB,F,550000.00,633389.00,2026,Spring
4oS3IfdI,bp8s4U,Nicholas,Hagen,CLB,GK,165000.00,183600.00,2026,Spring
yNZ6PW00,Ce6RbI,Owen,Presthus,CLB,D,88025.00,94216.00,2026,Spring
0SivzsGa,aEn9Ru,Patrick,Schulte,CLB,GK,900000.00,1032083.00,2026,Spring
zaTWrHTs,sbZGfw,Quinton,Elliot,CLB,M,88025.00,92668.00,2026,Spring
7tnW0f5f,kMCw1E,Rudy,Camacho,CLB,D,350000.00,415000.00,2026,Spring
JTjnzKYo,zTPpGK,Sean,Zawadzki,CLB,M,800000.00,900500.00,2026,Spring
2Etm6AXg,tjJXvj,Sekou,Bangoura,CLB,M,450000.00,542167.00,2026,Spring
S0yBPGwg,KdAIIk,Stanislav,Lapkes,CLB,GK,95400.00,114490.00,2026,Spring
MKp9WCq4,7fUoAF,Steven,Moreira,CLB,D,840000.00,922000.00,2026,Spring
bujUFVcq,WekgEq,Taha,Habroune,CLB,M,140000.00,152000.00,2026,Spring
exH5yBA8,fNPISl,Tristan,Brown,CLB,D,88025.00,92389.00,2026,Spring
glvsfu7U,9Ld32G,Wessam,Abou Ali,CLB,F,2775000.00,3611750.00,2026,Spring
KfFMW0st,YoHVYa,Yevgen,Cheberko,CLB,D,610000.00,658250.00,2026,Spring
lPkwNHxk,zrx5mm,Zach,Zengue,CLB,M,88025.00,88025.00,2026,Spring
JYSjczHe,0mUlF1,Aaron,Herrera,DC,D,850000.00,945220.00,2026,Spring
zUuCxukF,ve28jZ,Alex,Bono,DC,GK,250000.00,262500.00,2026,Spring
qbeKNHXl,qaHTlj,Brandon,Servania,DC,M,275000.00,303722.00,2026,Spring
NsDndaWJ,ZzmBYZ,Caden,Clark,DC,M,400000.00,432000.00,2026,Spring
KrVHaIQl,epV4KB,Conner,Antley,DC,D,120000.00,121667.00,2026,Spring
7RKs0ylL,n6L3oE,Gabriel,Segal,DC,F,113400.00,113400.00,2026,Spring
irFiaUrm,j6nM2m,Gabriel,Cordeiro Pirani,DC,M,800000.00,866700.00,2026,Spring
EBQAzHKk,CisZc9,Garrison,Tubbs,DC,D,113400.00,113400.00,2026,Spring
k4ily9Ex,cgMOrY,Gavin,Turner,DC,M,88025.00,110259.00,2026,Spring
bSqENvv6,iWNE4L,Grant,Leveille,DC,GK,88025.00,96750.00,2026,Spring
YMDXXJxv,ZMYyf6,Hakim,Karamoko,DC,F,88025.00,88025.00,2026,Spring
wMXNs82w,K2p7Cz,Hosei,Kijima,DC,M,113400.00,113400.00,2026,Spring
PQsEiNPq,fwjhxG,Jackson,Hopkins,DC,M,157500.00,157833.00,2026,Spring
GlktAQZo,03Or2n,Jacob,Murrell,DC,F,113400.00,113400.00,2026,Spring
uisc2AB7,aVNBob,Jared,Stroud,DC,F,425000.00,467500.00,2026,Spring
lOCMVP1V,HrZjRd,Joao Gabriel,Martins Peglow,DC,F,375000.00,626312.00,2026,Spring
UXZpIhkI,Qjv4ck,Joon-hong,Kim,DC,GK,250000.00,349880.00,2026,Spring
BpNrBcDW,SiXveh,Jordan,Farr,DC,GK,113400.00,118400.00,2026,Spring
GwjuAm2H,MFcO27,Keisuke,Kurokawa,DC,D,550000.00,615500.00,2026,Spring
dFNvsaij,dWfBI0,Kye,Rowles,DC,D,550000.00,751667.00,2026,Spring
fuLDSOAp,TRZPVy,Louis,Munteanu,DC,F,1190000.00,1634100.00,2026,Spring
yBmQaXwb,vHjI0C,Lucas,Bartlett,DC,D,525000.00,585625.00,2026,Spring
SUWR5AvO,8d55fy,Matti,Peltola,DC,M,800000.00,876000.00,2026,Spring
fHcXE9vi,WlXs0l,Nikola,Markovic,DC,D,88025.00,93858.00,2026,Spring
kPM7VGaE,sOmzYW,Oscar,Avilez,DC,F,88025.00,108966.00,2026,Spring
fUiB7mzg,enrXcl,Richie,Aman,DC,M,88025.00,89025.00,2026,Spring
vH7Q3hQ8,5nYQQh,Sean,Johnson,DC,GK,883475.00,883475.00,2026,Spring
9bAypct4,YO5aN0,Sean,Nealis,DC,D,650000.00,723750.00,2026,Spring
JlgciTN5,lDu0xe,Silvan,Hefti,DC,D,370000.00,434833.00,2026,Spring
fg7xil2Z,dxX8Hf,Tai,Baribo,DC,F,2100000.00,2349000.00,2026,Spring
cbB778fd,Ruvy79,Ademar,Chavez,CIN,M,88025.00,113840.00,2026,Spring
o8ZO9oaa,CsZsiq,Alvas,Powell,CIN,D,285000.00,325750.00,2026,Spring
t9UGiCwD,NAVkcV,Andrei,Chirila,CIN,D,88025.00,98373.00,2026,Spring
4FYdLHKB,V1djgV,Ayoub,Jabbari,CIN,F,420000.00,474800.00,2026,Spring
a1D6UwOr,45YPYs,Brian,Schaefer,CIN,D,113400.00,120067.00,2026,Spring
pQxQcWj3,GUMtAV,Bryan,Ramirez,CIN,F,435000.00,684100.00,2026,Spring
cqqiYNBY,veenBQ,Ender,Echenique,CIN,F,356400.00,446580.00,2026,Spring
9dKHQdky,JGtXiW,Evan,Louro,CIN,GK,237500.00,259635.00,2026,Spring
fLd0sBIW,qvy0aQ,Evander,da Silva Ferreira,CIN,M,3200000.00,4736411.00,2026,Spring
5V4w5iUL,RfHms2,Fabian,Mrozek,CIN,GK,113400.00,150900.00,2026,Spring
Sia1l3XT,THVsLW,Gerardo,Valenzuela,CIN,M,125000.00,142542.00,2026,Spring
5QuQwYG5,cmffew,Gilberto,Flores,CIN,D,390000.00,436672.00,2026,Spring
t96Ln7QO,0JwXlj,Kenji,Mboma Dem,CIN,F,88025.00,88025.00,2026,Spring
30qjppCT,X0hKQl,Kevin,Denkey,CIN,F,3800000.00,3810000.00,2026,Spring
bPviKfJA,Mbg7PD,Kristian,Fletcher,CIN,F,113400.00,126733.00,2026,Spring
2SHhqU37,8McyhW,Kyle,Smith,CIN,D,113400.00,118400.00,2026,Spring
TBAQssFN,FIOEDf,Matt,Miazga,CIN,D,1639000.00,1639000.00,2026,Spring
OU3XeUus,PpXAIK,Miles,Robinson,CIN,D,3500000.00,3950000.00,2026,Spring
sEOTzik0,3GhcBV,Nick,Hagglund,CIN,D,113400.00,130067.00,2026,Spring
2qtcLvFP,7ZKHNB,Obinna,Nwobodo,CIN,M,1500000.00,1849724.00,2026,Spring
nMG5mdt3,cTXW2N,Paul,Walters,CIN,GK,113400.00,121367.00,2026,Spring
fNgT0Act,myktuY,Pavel,Bucha,CIN,M,499992.00,548774.00,2026,Spring
q7fRL2Il,SRwCmA,Roman,Celentano,CIN,GK,525000.00,574000.00,2026,Spring
b6hYN8Ii,JmGJIw,Samuel,Gidi,CIN,M,600000.00,671050.00,2026,Spring
Wm6GddDu,cOXJmm,Stefan,Chirila,CIN,F,113400.00,128180.00,2026,Spring
aqcxfJFT,GUqRku,Stiven,Jimenez,CIN,M,113400.00,113400.00,2026,Spring
wZuPxPTP,X6qAWs,Tah,Anunga,CIN,M,250000.00,262500.00,2026,Spring
F6nUWsqS,emHXll,Teenage,Hadebe,CIN,D,1080000.00,1230000.00,2026,Spring
a5KTJz1m,ERJie0,Tom,Barlow,CIN,F,113400.00,121733.00,2026,Spring
50FxrGjj,k9dLHz,Alvaro,Augusto,DAL,D,113400.00,125518.00,2026,Spring
UgZgjs5x,goXlWO,Anderson,Julio,DAL,F,750000.00,820000.00,2026,Spring
msT5zMnT,PG7ink,Bernard,Kamungo,DAL,F,250000.00,281000.00,2026,Spring
ZNA60b7P,IHeVdC,Brooks,Thompson,DAL,GK,113400.00,113400.00,2026,Spring
ak0rM97u,AtYij9,Caleb,Swann,DAL,M,88025.00,88025.00,2026,Spring
8KzTKj32,eLOXh1,Christian,Cappis,DAL,M,352000.00,352000.00,2026,Spring
En5uPgEm,T9O6rX,Daniel,Baran,DAL,F,88025.00,102241.00,2026,Spring
qgM8HLQo,Usf3Pa,Diego,Garcia,DAL,M,88025.00,101666.00,2026,Spring
7tJ25ky3,uXLXC6,Enes,Sali,DAL,F,350000.00,395000.00,2026,Spring
