id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
YqqyNYY8,,Joel,Waterman,CHI,D,517000.00,598150.00,2026,Spring
jvGKWnN7,,Jonathan,Dean,CHI,D,175000.00,210700.00,2026,Spring
5nBbahUO,,Jonathan,Bamba,CHI,F,5000000.00,5581806.00,2026,Spring
C6zs5RGd,,Josh,Cohen,CHI,GK,165000.00,181250.00,2026,Spring
Gh4DQSra,,Leonardo,Barroso,CHI,D,350000.00,395500.00,2026,Spring
ms7C42DC,,Maren,Haile-Selassie,CHI,M,444000.00,483500.00,2026,Spring
7mZ1jYyT,,Mauricio,Pineda,CHI,D,200000.00,320157.00,2026,Spring
xYVQgc2v,,Mbekezeli,Mbokazi,CHI,D,593000.00,655620.00,2026,Spring
c3X7A8wL,,Omari,Glasgow,CHI,M,113400.00,127085.00,2026,Spring
HFZ55F3z,,Philip,Zinckernagel,CHI,F,1455125.00,1635665.00,2026,Spring
wveXTB2r,,Puso,Dithejane,CHI,F,250000.00,283252.00,2026,Spring
hnyUDWLz,,Robert,Turdean,CHI,M,125000.00,157927.00,2026,Spring
e8E3nKaI,,Robin,Lod,CHI,M,800000.00,866667.00,2026,Spring
qceaHlpH,,Sam,Williams,CHI,M,88025.00,99354.00,2026,Spring
EX0GkMYW,,Sam,Rogers,CHI,D,200000.00,223000.00,2026,Spring
JLjdJsMz,,Sergio,Oregel,CHI,M,350000.00,392500.00,2026,Spring
JSQeTm4m,,Viktor,Radojevic,CHI,D,350000.00,357000.00,2026,Spring
4DEyNH1v,,Adam,Beaudry,COL,GK,113400.00,115900.00,2026,Spring
JanZuHiy,,Alex,Harris,COL,F,88025.00,90025.00,2026,Spring
bD9FD7E2,,Alexis,Manyoma,COL,F,654000.00,711750.00,2026,Spring
iw2G3LLS,,Ali,Fadal,COL,M,113400.00,113400.00,2026,Spring
GLceza18,,Bryce,Jamison,COL,F,113400.00,125866.00,2026,Spring
JiTdMgfL,,Connor,Ronan,COL,M,510000.00,562400.00,2026,Spring
n9i7pFow,,Dante,Sealy,COL,F,150000.00,168022.00,2026,Spring
tDBJFFRM,,Darren,Yapi,COL,F,795000.00,820000.00,2026,Spring
TtZS688d,,Donavan,Phillip,COL,F,88025.00,88025.00,2026,Spring
CYyaoOhe,,Georgi,Minoungou,COL,F,113400.00,113400.00,2026,Spring
avrAU3Rj,,Hamzat,Ojediran,COL,M,800000.00,881667.00,2026,Spring
6xcS2R1m,,Ian,Murphy,COL,D,400000.00,447500.00,2026,Spring
EQPJGNqu,,Jackson,Travis,COL,D,125000.00,127500.00,2026,Spring
oJcwphUq,,Josh,Atencio,COL,M,462500.00,462500.00,2026,Spring
SxeTuDYU,,Keegan,Rosenberry,COL,D,300000.00,300000.00,2026,Spring
Gpjwiydm,,Kimani,Stewart-Baynes,COL,F,115000.00,116000.00,2026,Spring
rZzEKSFa,,Kosi,Thompson,COL,D,140000.00,145260.00,2026,Spring
cnYgN0Qq,,Lucas,Herrington,COL,D,200004.00,235004.00,2026,Spring
w55gMxt7,,Mamadou Billo,Diop,COL,F,88025.00,88025.00,2026,Spring
15SvDp0P,,Miguel,Navarro,COL,D,498000.00,548781.00,2026,Spring
kYGuJK2s,,Nicolas,Hansen,COL,GK,160000.00,160000.00,2026,Spring
bdNNRODB,,Noah,Cobb,COL,D,130000.04,130000.04,2026,Spring
OWe8mEzg,,Paxten,Aaronson,COL,M,2000000.00,2228063.00,2026,Spring
yapexO6T,,Rafael,Navarro Leal,COL,F,1392000.00,1449600.00,2026,Spring
kj99re9H,,Reggie,Cannon,COL,D,750000.00,841500.00,2026,Spring
Fo3rmYGO,,Rob,Holding,COL,D,1200000.00,1200000.00,2026,Spring
xahrugGE,,Sydney,Wathuta,COL,M,88025.00,88025.00,2026,Spring
vO77Xpaf,,Theodore,Ku-DiPietro,COL,M,500000.00,556000.00,2026,Spring
5KVaMVnc,,Wayne,Frederick,COL,M,113400.00,113400.00,2026,Spring
X1DQBAoo,,Zack,Steffen,COL,GK,1100000.00,1100000.00,2026,Spring
e9t2rVmi,,Amar,Sejdic,CLB,M,200000.00,214550.00,2026,Spring
w5MVOILV,,Andre,Gomes,CLB,M,875000.00,971944.00,2026,Spring
M2l6PxDJ,,Andres,Herrera,CLB,D,650000.00,727632.00,2026,Spring
t1axgowY,,Cesar,Ruvalcaba,CLB,D,113400.00,113400.00,2026,Spring
fn7LB3Go,,Chase,Adams,CLB,F,88025.00,114303.00,2026,Spring
MiTrXZCO,,Cole,Mrowka,CLB,M,113400.00,133408.00,2026,Spring
Xp2yaamn,,Daniel,Gazdag,CLB,M,2049996.00,2647635.00,2026,Spring
f94YNqzx,,Diego,Rossi,CLB,M,2775000.00,3476827.00,2026,Spring
ykou8QRT,,Dylan,Chambost,CLB,M,600000.00,695250.00,2026,Spring
xxLnvDIM,,Evan,Bush,CLB,GK,113400.00,113400.00,2026,Spring
3gY0YxZb,,Hugo,Picard,CLB,M,725000.00,781244.00,2026,Spring
D6Pvh734,,Jamal,Thiare,CLB,F,500000.00,530000.00,2026,Spring
DjLKXCvz,,Luke,Pruter,CLB,GK,113400.00,113400.00,2026,Spring
Bro2DHH1,,Malte,Amundsen,CLB,D,675000.00,747500.00,2026,Spring
EeoHvy9o,,Max,Arfsten,CLB,F,800000.00,895000.00,2026,Spring
IQ8WNxDH,,Mohamed,Farsi,CLB,M,500000.00,530000.00,2026,Spring
gdMx81at,,Nariman,Akhundzada,CLB,F,550000.00,633389.00,2026,Spring
4oS3IfdI,,Nicholas,Hagen,CLB,GK,165000.00,183600.00,2026,Spring
yNZ6PW00,,Owen,Presthus,CLB,D,88025.00,94216.00,2026,Spring
0SivzsGa,,Patrick,Schulte,CLB,GK,900000.00,1032083.00,2026,Spring
zaTWrHTs,,Quinton,Elliot,CLB,M,88025.00,92668.00,2026,Spring
7tnW0f5f,,Rudy,Camacho,CLB,D,350000.00,415000.00,2026,Spring
JTjnzKYo,,Sean,Zawadzki,CLB,M,800000.00,900500.00,2026,Spring
2Etm6AXg,,Sekou,Bangoura,CLB,M,450000.00,542167.00,2026,Spring
S0yBPGwg,,Stanislav,Lapkes,CLB,GK,95400.00,114490.00,2026,Spring
MKp9WCq4,,Steven,Moreira,CLB,D,840000.00,922000.00,2026,Spring
bujUFVcq,,Taha,Habroune,CLB,M,140000.00,152000.00,2026,Spring
exH5yBA8,,Tristan,Brown,CLB,D,88025.00,92389.00,2026,Spring
glvsfu7U,,Wessam,Abou Ali,CLB,F,2775000.00,3611750.00,2026,Spring
KfFMW0st,,Yevgen,Cheberko,CLB,D,610000.00,658250.00,2026,Spring
lPkwNHxk,,Zach,Zengue,CLB,M,88025.00,88025.00,2026,Spring
JYSjczHe,,Aaron,Herrera,DC,D,850000.00,945220.00,2026,Spring
