firstname,lastname,club,position,basesalary,guaranteedcomp
Nicholas,Hagen,CLB,GK,"$165,000.00","$183,600.00"
Owen,Presthus,CLB,D,"$88,025.00","$94,216.00"
Patrick,Schulte,CLB,GK,"$900,000.00","$1,032,083.00"
Quinton,Elliot,CLB,M,"$88,025.00","$92,668.00"
Rudy,Camacho,CLB,D,"$350,000.00","$415,000.00"
Sean,Zawadzki,CLB,M,"$800,000.00","$900,500.00"
Sekou,Bangoura,CLB,M,"$450,000.00","$542,167.00"
Stanislav,Lapkes,CLB,GK,"$95,400.00","$114,490.00"
Steven,Moreira,CLB,D,"$840,000.00","$922,000.00"
Taha,Habroune,CLB,M,"$140,000.00","$152,000.00"
Tristan,Brown,CLB,D,"$88,025.00","$92,389.00"
Wessam,Abou Ali,CLB,F,"$2,775,000.00","$3,611,750.00"
Yevgen,Cheberko,CLB,D,"$610,000.00","$658,250.00"
Zach,Zengue,CLB,M,"$88,025.00","$88,025.00"
Aarón,Herrera,DC,D,"$850,000.00","$945,220.00"
Alex,Bono,DC,GK,"$250,000.00","$262,500.00"
Brandon,Servania,DC,M,"$275,000.00","$303,722.00"
Caden,Clark,DC,M,"$400,000.00","$432,000.00"
Conner,Antley,DC,D,"$120,000.00","$121,667.00"
Gabriel,Segal,DC,F,"$113,400.00","$113,400.00"
Gabriel,Cordeiro Pirani,DC,M,"$800,000.00","$866,700.00"
Garrison,Tubbs,DC,D,"$113,400.00","$113,400.00"
Gavin,Turner,DC,M,"$88,025.00","$110,259.00"
Grant,Leveille,DC,GK,"$88,025.00","$96,750.00"
Hakim,Karamoko,DC,F,"$88,025.00","$88,025.00"
Hosei,Kijima,DC,M,"$113,400.00","$113,400.00"
Jackson,Hopkins,DC,M,"$157,500.00","$157,833.00"
Jacob,Murrell,DC,F,"$113,400.00","$113,400.00"
Jared,Stroud,DC,F,"$425,000.00","$467,500.00"
João Gabriel,Martins Peglow,DC,F,"$375,000.00","$626,312.00"
Joon-hong,Kim,DC,GK,"$250,000.00","$349,880.00"
Jordan,Farr,DC,GK,"$113,400.00","$118,400.00"
Keisuke,Kurokawa,DC,D,"$550,000.00","$615,500.00"
Kye,Rowles,DC,D,"$550,000.00","$751,667.00"
Louis,Munteanu,DC,F,"$1,190,000.00","$1,634,100.00"
Lucas,Bartlett,DC,D,"$525,000.00","$585,625.00"
Matti,Peltola,DC,M,"$800,000.00","$876,000.00"
Nikola,Marković,DC,D,"$88,025.00","$93,858.00"
Oscar,Avilez,DC,F,"$88,025.00","$108,966.00"
Richie,Aman,DC,M,"$88,025.00","$89,025.00"
Sean,Johnson,DC,GK,"$883,475.00","$883,475.00"
Sean,Nealis,DC,D,"$650,000.00","$723,750.00"
Silvan,Hefti,DC,D,"$370,000.00","$434,833.00"
Tai,Baribo,DC,F,"$2,100,000.00","$2,349,000.00"
Ademar,Chávez,CIN,M,"$88,025.00","$113,840.00"
Alvas,Powell,CIN,D,"$285,000.00","$325,750.00"
Andrei,Chirilă,CIN,D,"$88,025.00","$98,373.00"
Ayoub,Jabbari,CIN,F,"$420,000.00","$474,800.00"
Brian,Schaefer,CIN,D,"$113,400.00","$120,067.00"
Bryan,Ramírez,CIN,F,"$435,000.00","$684,100.00"
Ender,Echenique,CIN,F,"$356,400.00","$446,580.00"
Evan,Louro,CIN,GK,"$237,500.00","$259,635.00"
Evander,da Silva Ferreira,CIN,M,"$3,200,000.00","$4,736,411.00"
Fabian,Mrozek,CIN,GK,"$113,400.00","$150,900.00"
Gerardo,Valenzuela,CIN,M,"$125,000.00","$142,542.00"
Gilberto,Flores,CIN,D,"$390,000.00","$436,672.00"
Kenji,Mboma Dem,CIN,F,"$88,025.00","$88,025.00"
Kévin,Denkey,CIN,F,"$3,800,000.00","$3,810,000.00"
Kristian,Fletcher,CIN,F,"$113,400.00","$126,733.00"
Kyle,Smith,CIN,D,"$113,400.00","$118,400.00"
Matt,Miazga,CIN,D,"$1,639,000.00","$1,639,000.00"
Miles,Robinson,CIN,D,"$3,500,000.00","$3,950,000.00"
Nick,Hagglund,CIN,D,"$113,400.00","$130,067.00"
Obinna,Nwobodo,CIN,M,"$1,500,000.00","$1,849,724.00"
Paul,Walters,CIN,GK,"$113,400.00","$121,367.00"
Pavel,Bucha,CIN,M,"$499,992.00","$548,774.00"
Roman,Celentano,CIN,GK,"$525,000.00","$574,000.00"
Samuel,Gidi,CIN,M,"$600,000.00","$671,050.00"
Ștefan,Chirilă,CIN,F,"$113,400.00","$128,180.00"
Stiven,Jimenez,CIN,M,"$113,400.00","$113,400.00"
Tah,Anunga,CIN,M,"$250,000.00","$262,500.00"
Teenage,Hadebe,CIN,D,"$1,080,000.00","$1,230,000.00"
Tom,Barlow,CIN,F,"$113,400.00","$121,733.00"
Álvaro,Augusto,DAL,D,"$113,400.00","$125,518.00"
Anderson,Julio,DAL,F,"$750,000.00","$820,000.00"
Bernard,Kamungo,DAL,F,"$250,000.00","$281,000.00"
Brooks,Thompson,DAL,GK,"$113,400.00","$113,400.00"
Caleb,Swann,DAL,M,"$88,025.00","$88,025.00"
Christian,Cappis,DAL,M,"$352,000.00","$352,000.00"
Daniel,Baran,DAL,F,"$88,025.00","$102,241.00"
Diego,García,DAL,M,"$88,025.00","$101,666.00"
Enes,Sali,DAL,F,"$350,000.00","$395,000.00"
Enzo,Newman,DAL,D,"$88,025.00","$88,025.00"
Geovane,de Jesus Rocha,DAL,D,"$400,000.00","$447,000.00"
Herman,Johansson,DAL,M,"$600,000.00","$740,000.00"
Jaidyn,Contreras,DAL,F,"$88,025.00","$88,025.00"
Joaquín,Valiente,DAL,M,"$400,000.00","$442,022.00"
Jonathan,Sirois,DAL,GK,"$250,000.00","$267,625.00"
Joshua,Torquato,DAL,D,"$88,025.00","$96,025.00"
Kaick,da Silva Ferreira,DAL,M,"$200,000.00","$251,900.00"
Kaka,Scabin,DAL,D,"$88,025.00","$88,025.00"
