id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
tgeaEjp3,,Jack,Elliott,CHI,D,914773.00,1008537.00,2025,Fall
3GWDGVGZ,,Christopher,Cupps,CHI,D,80622.00,83408.00,2025,Fall
CRuDl8NE,,Omar,Gonzalez,CHI,D,104000.00,123333.00,2025,Fall
Qn2EW6Pw,,Sam,Rogers,CHI,D,120000.00,143000.00,2025,Fall
4j25WmVQ,,Joel,Waterman,CHI,D,474250.00,555400.00,2025,Fall
fxHJBVQQ,,Rominigue,Kouame,CHI,M,600000.00,693755.00,2025,Fall
LBC6J01G,,Sergio,Oregel,CHI,M,113400.00,113400.00,2025,Fall
qK3cFGJr,,Kellyn,Acosta,CHI,M,1461796.00,1628477.00,2025,Fall
XwknJsPw,,Dje,D'Avilla,CHI,M,548004.00,660490.00,2025,Fall
MDpAUL8p,,Sam,Williams,CHI,M,80622.00,91951.00,2025,Fall
cONdnlYW,,Chris,Brady,CHI,GK,249996.00,348329.00,2025,Fall
zP3D1d02,,Bryan,Dowd,CHI,GK,80622.00,80622.00,2025,Fall
ijMb96Zh,,Jeff,Gal,CHI,GK,140000.00,140000.00,2025,Fall
8dUO9G11,,Jonathan,Bamba,CHI,F,5000000.00,5581806.00,2025,Fall
B5BjoCPi,,Andrew,Gutman,CHI,D,600000.00,600000.00,2025,Fall
VUWPN05Y,,Chase,Gasper,CHI,D,575000.00,600000.00,2025,Fall
XP6ufFsV,,Viktor,Radojevic,CHI,D,300000.00,307000.00,2025,Fall
dVtlQ3Fl,,Omari,Glasgow,CHI,M,104000.00,117685.00,2025,Fall
WcLmWXd2,,Maren,Haile-Selassie,CHI,M,388000.00,427500.00,2025,Fall
jkFhS8sc,,Chris,Mueller,CHI,F,699996.00,762316.00,2025,Fall
4P1JgPyn,,Philip,Zinckernagel,CHI,F,1450750.00,1631290.00,2025,Fall
m6c5TsTN,,Leonardo,Barroso,CHI,D,300000.00,345500.00,2025,Fall
OAdLv3ll,,Justin,Reynolds,CHI,D,104000.00,104000.00,2025,Fall
vMpv7Mb6,,Jonathan,Dean,CHI,D,130000.00,138167.00,2025,Fall
6Zk6ptkZ,,Paxten,Aaronson,COL,M,2000000.00,2228063.00,2025,Fall
H1EVxWuM,,Cole,Bassett,COL,M,850000.00,850000.00,2025,Fall
mEqjqQNK,,Theodore,Ku-DiPietro,COL,M,400000.00,456000.00,2025,Fall
xq6X6BTt,,Rafael,Navarro Leal,COL,F,1392000.00,1449600.00,2025,Fall
u1hrWjL2,,Darren,Yapi,COL,F,104000.00,114833.00,2025,Fall
limMXDgI,,Nate,Jones,COL,D,80622.00,80622.00,2025,Fall
MmX2pns3,,Michael,Edwards,COL,D,160000.00,160000.00,2025,Fall
Wg6CfPgI,,Andreas,Maxsø,COL,D,1200000.00,1392500.00,2025,Fall
raUq0T1z,,Ian,Murphy,COL,D,400000.00,447500.00,2025,Fall
KBz9DKLg,,Rob,Holding,COL,D,1200000.00,1200000.00,2025,Fall
aaFKI0qb,,Connor,Ronan,COL,M,490000.00,542400.00,2025,Fall
GMEHvXpb,,Ali,Fadal,COL,M,80622.00,80622.00,2025,Fall
leEJMkXs,,Wayne,Frederick,COL,M,104000.00,104000.00,2025,Fall
MtVAOu2Q,,Oliver,Larraz,COL,M,125000.00,130625.00,2025,Fall
om9fslCj,,Daouda,Amadou,COL,M,80622.00,80622.00,2025,Fall
JDNZXGMF,,Josh,Atencio,COL,M,350000.00,350000.00,2025,Fall
6TJ6ZRW2,,Sam,Bassett,COL,M,80622.00,80622.00,2025,Fall
LG7l3iGG,,Zack,Steffen,COL,GK,1000000.00,1000000.00,2025,Fall
gu7UaF9d,,Adam,Beaudry,COL,GK,104000.00,106500.00,2025,Fall
r51urfK4,,Nicolas,Hansen,COL,GK,80622.00,80622.00,2025,Fall
Ur9qUXgr,,Kimani,Stewart-Baynes,COL,F,90000.00,91000.00,2025,Fall
oOQLoJ6n,,Alexis,Manyoma,COL,F,535200.00,592950.00,2025,Fall
jofoWGKz,,Rafael,Santos,COL,D,375000.00,401188.00,2025,Fall
AY9a84oI,,Sam,Vines,COL,D,900000.00,912500.00,2025,Fall
He4UIS81,,Jackson,Travis,COL,D,104000.00,106500.00,2025,Fall
akgMkzUa,,Bryce,Jamison,COL,F,104000.00,116466.00,2025,Fall
iOtyJyF7,,Alex,Harris,COL,F,80622.00,82622.00,2025,Fall
dpJL7nkK,,Calvin,Harris,COL,F,150000.00,152000.00,2025,Fall
mkLgEiln,,Reggie,Cannon,COL,D,750000.00,841500.00,2025,Fall
4IqIIa24,,Keegan,Rosenberry,COL,D,400000.00,400000.00,2025,Fall
4kOyzwaM,,Diego,Rossi,CLB,M,2725000.00,3426827.00,2025,Fall
tHQkxMC1,,Dylan,Chambost,CLB,M,450000.00,557219.00,2025,Fall
CemVTfnP,,Daniel,Gazdag,CLB,M,2000004.00,2597643.00,2025,Fall
XSf19IxB,,Wessam,Abou Ali,CLB,F,1800000.00,2157375.00,2025,Fall
uFKy2AvH,,Ibrahim,Aliyu,CLB,F,474996.00,526375.00,2025,Fall
PR2H9Oiu,,Jacen,Russell-Rowe,CLB,F,120000.00,130789.00,2025,Fall
2pKI0jeE,,Yevgen,Cheberko,CLB,D,610000.00,658250.00,2025,Fall
gzuqGc1i,,Malte,Amundsen,CLB,D,624996.00,697496.00,2025,Fall
u3VLchyE,,Rudy,Camacho,CLB,D,525000.00,601000.00,2025,Fall
y3peMODr,,Cesar,Ruvalcaba,CLB,D,80622.00,80622.00,2025,Fall
ySZjwIlB,,Taha,Habroune,CLB,M,104000.00,116000.00,2025,Fall
L3SkqPMX,,Cole,Mrowka,CLB,M,80622.00,100630.00,2025,Fall
SfBWyVpP,,Derrick,Jones,CLB,M,350000.00,387500.00,2025,Fall
i5sVCN8M,,Sean,Zawadzki,CLB,M,400000.00,446875.00,2025,Fall
ClgNu1K1,,Darlington,Nagbe,CLB,M,1425000.00,1565833.00,2025,Fall
WTFUmfJj,,Amar,Sejdic,CLB,M,104000.00,118550.00,2025,Fall
HqHy96Fd,,Evan,Bush,CLB,GK,104000.00,104000.00,2025,Fall
0EQanSc7,,Nicholas,Hagen,CLB,GK,104000.00,122600.00,2025,Fall
etrpXLHa,,Stanislav,Lapkes,CLB,GK,80622.00,99712.00,2025,Fall
bUpbPIIf,,Abraham,Romero,CLB,GK,104000.00,104000.00,2025,Fall
36DkGr3l,,Patrick,Schulte,CLB,GK,825000.00,957083.00,2025,Fall
ToFzjVtF,,Hugo,Picard,CLB,M,675000.00,731244.00,2025,Fall
rjvREMBU,,Max,Arfsten,CLB,F,350000.00,389375.00,2025,Fall
DZoMJC1q,,Lassi,Lappalainen,CLB,F,325000.00,368750.00,2025,Fall
tVkVdWAd,,Tristan,Brown,CLB,D,80622.00,84986.00,2025,Fall
JkGDwbyT,,Mohamed,Farsi,CLB,M,425000.00,455000.00,2025,Fall
ZRYhyiLu,,Steven,Moreira,CLB,D,820000.00,902000.00,2025,Fall
n8aCzkQg,,Andres,Herrera,CLB,D,650000.00,737158.00,2025,Fall
8gxWLn13,,Gabriel,Cordeiro Pirani,DC,M,725000.00,791700.00,2025,Fall
s1vY45qo,,Caden,Clark,DC,M,375000.00,407000.00,2025,Fall
JvBA6oLG,,Jackson,Hopkins,DC,M,104000.00,104286.00,2025,Fall
MettZi7i,,Gavin,Turner,DC,M,80622.00,102856.00,2025,Fall
DUREZbP3,,Dominique,Badji,DC,F,400000.00,435000.00,2025,Fall
5LCi5rrF,,Christian,Benteke,DC,F,4500000.00,4937500.00,2025,Fall
hj54aVAH,,Kristian,Fletcher,DC,F,150000.00,169509.00,2025,Fall
eANr5Jnf,,Jacob,Murrell,DC,F,80622.00,80622.00,2025,Fall
3pjIr6Qb,,Lucas,Bartlett,DC,D,450000.00,510625.00,2025,Fall
tj97taSE,,Lukas,MacNaughton,DC,D,120000.00,122100.00,2025,Fall
HnXo3xaC,,Kye,Rowles,DC,D,292500.00,494167.00,2025,Fall
Z1inpCd0,,Garrison,Tubbs,DC,D,104000.00,104000.00,2025,Fall
m2VhzjBN,,Hosei,Kijima,DC,M,80622.00,80622.00,2025,Fall
3tLRw9Xj,,Brandon,Servania,DC,M,104000.00,131056.00,2025,Fall
GuML1N8v,,Rida,Zouhir,DC,M,80622.00,95362.00,2025,Fall
yBEIeJhP,,Boris,Enow,DC,M,500000.00,613900.00,2025,Fall
GkJnXhmO,,Matti,Peltola,DC,M,750000.00,826000.00,2025,Fall
acwMPzWc,,Luis,Barraza,DC,GK,180000.00,187688.00,2025,Fall
TcZb87P9,,Jordan,Farr,DC,GK,104000.00,109000.00,2025,Fall
5HzG5oWx,,Joon-hong,Kim,DC,GK,354000.00,427000.00,2025,Fall
mOxOqha8,,Joao Gabriel,Martins Peglow,DC,F,357500.00,608812.00,2025,Fall
UIdX1Pr7,,Randall,Leal,DC,F,1150000.00,1265000.00,2025,Fall
o8FjdC3l,,Jared,Stroud,DC,F,350000.00,392500.00,2025,Fall
0rP82yjw,,David,Schnegg,DC,D,600000.00,706250.00,2025,Fall
FNTBaNgB,,Hakim,Karamoko,DC,F,80622.00,80622.00,2025,Fall
QMO95U2e,,Conner,Antley,DC,D,104000.00,105667.00,2025,Fall
IcZwu7zK,,Derek,Dodson,DC,D,104000.00,110250.00,2025,Fall
GBJWaFRw,,Aaron,Herrera,DC,D,825000.00,920220.00,2025,Fall
bXPcXeH2,,Yuya,Kubo,CIN,M,750000.00,821667.00,2025,Fall
Zmmd1414,,Gerardo,Valenzuela,CIN,M,104000.00,121542.00,2025,Fall
JCE3P6bT,,Evander,da Silva Ferreira,CIN,M,3200000.00,4736411.00,2025,Fall
Ku3eC7hf,,Kevin,Denkey,CIN,F,3800000.00,3810000.00,2025,Fall
xUcUG8mw,,Stefan,Chirila,CIN,F,80622.00,95402.00,2025,Fall
gQ7V0h4g,,Ayoub,Jabbari,CIN,F,300000.00,354800.00,2025,Fall
suRuiuyg,,Kei,Kamara,CIN,F,104000.00,119000.00,2025,Fall
FMl9BB5D,,Kenji,Mboma Dem,CIN,F,80622.00,80622.00,2025,Fall
dQHQj4vC,,Brenner,Souza da Silva,CIN,F,119259.00,280120.00,2025,Fall
FyDoCDlP,,Gilberto,Flores,CIN,D,364992.00,411664.00,2025,Fall
unM2pI7q,,Teenage,Hadebe,CIN,D,960000.00,1110000.00,2025,Fall
AoWs8rmt,,Nick,Hagglund,CIN,D,250000.00,266667.00,2025,Fall
4nNHZ4yH,,Matt,Miazga,CIN,D,1575000.00,1575000.00,2025,Fall
pbtnw1zC,,Miles,Robinson,CIN,D,1503411.00,1650171.00,2025,Fall
tjvKA2l8,,Tah,Anunga,CIN,M,104000.00,116500.00,2025,Fall
gkbmcPs8,,Pavel,Bucha,CIN,M,474996.00,523778.00,2025,Fall
ap9ncQrk,,Samuel,Gidi,CIN,M,540000.00,611050.00,2025,Fall
YZ7i980a,,Stiven,Jimenez,CIN,M,104000.00,104000.00,2025,Fall
MWhDghyz,,Obinna,Nwobodo,CIN,M,982350.00,1241250.00,2025,Fall
YiZboGfV,,Alec,Kann,CIN,GK,192500.00,192500.00,2025,Fall
