RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
tbxrhlhS,ZkzRkl,PHI,GK,"75000.0","80625.0",2016
tCCgcmzX,2tsVJ7,RBNY,D,"42000.0","42000.0",2011
2Wjz2nft,7JWTid,COL,D,"71401.00","71401.00",2024
QrgRyOqS,7JWTid,COL,D,"80622.00","80622.00",2025 Sp
ERLdPtST,6tSVAC,DAL,M,"12900.0","12900.0",2007
kp11wwlU,ByjqNP,LA,F,"12900.0","12900.0",2008
dRxE4Idy,ByjqNP,LA,F,"34000.0","34000.0",2009
UfNxSCQ5,ByjqNP,LA,F,"40000.0","40000.0",2010
gLtryuag,ByjqNP,LA,F,"42000.0","42000.0",2011
Bxa59X6w,ByjqNP,LA,F,"55000.0","55000.0",2012
S7vXsiii,IS7IoT,PHI,M,"44000.0","44000.0",2012
2KwOZT5K,IS7IoT,PHI,M,"46500.0","46500.0",2013
wlFNAUmc,oWYEcS,RBNY,F,"275000.04","306250.04",2019
h3X8jgXI,oWYEcS,RBNY,F,"300000.00","331250.00",2020
6Tm9J9el,oWYEcS,RBNY,F,"325000.00","356250.00",2021
8EghIQ4n,wT40mo,LA,D,"600000.00","600000.00",2025 Sp
GAhqjw6Q,PDvmU0,TOR,M,"40000.0","40000.0",2010
gPCajtdg,JDKF0C,KC,M,"44100.0","44100.0",2012
tpdgSops,JDKF0C,KC,M,"46500.0","46500.0",2013
TnaZhLY4,2cLGvG,NE,D,"170625.0","180625.0",2007
51LgFHNz,2cLGvG,NE,M,"300000.0","325000.0",2008
s6csREtA,2cLGvG,NE,M,"425000.0","450000.0",2009
YbADBjVB,2cLGvG,NE,M,"450000.0","475000.0",2010
wXfcJSQH,2cLGvG,NE,M,"475000.0","500000.0",2011
cBH64ZTf,2cLGvG,CHV,M,"495000.0","554333.33",2012
HW6DWYks,2cLGvG,SEA,M,"60000.0","105500.0",2013
ckh9KsfG,2cLGvG,NE,M,"248500.0","294000.0",2014
Zkv2LhZ7,vpbeQs,CLB,F,"12900.0","12900.0",2008
IDQeZMnx,0eXSXd,LA,F,"612500.00","612500.00",2021
yaR45fAx,0eXSXd,LA,F,"612500.00","612500.00",2022
W7fePJbZ,0eXSXd,LA,F,"651250.00","651250.00",2023
mo6ED0IU,0eXSXd,LA,F,"683750.00","683750.00",2024
cScXxxeI,0eXSXd,KC,F,"3000000.00","3306250.00",2025 Sp
M9qdQh6O,fdT9Zj,RSL,D,"120000.0","120000.0",2008
GooCl9ir,fF7cXd,CHI,M,"48504.0","53504.0",2014
88PyqvBy,79wmUl,COL,GK,"54000.0","54000.0",2010
0DYQerok,79wmUl,COL,GK,"70000.0","70000.0",2011
aaXtjedP,79wmUl,COL,GK,"44004.0","44004.0",2012
VKvepHhY,tumLVV,STL,M,"80622.00","97902.00",2025 Sp
hnRTgETw,3COxGY,CLT,F-M,"900000.00","1017000.00",2022
FOEfOsus,3COxGY,CLT,M,"1100000.00","1217000.00",2023
P0AyN8kF,S8vZ7u,VAN,D-M,"525000.00","619833.33",2018
HTMobfL4,bGsWtW,LA,F,"65500.00","65500.00",2022
eqvEOYUt,bGsWtW,LA,F,"67360.00","67360.00",2023
WcEY2fet,bGsWtW,SJ,F,"89716.00","89716.00",2024
Bfqc887a,bGsWtW,SJ,F,"185000.00","185000.00",2025 Sp
IXNhRbG8,7ls2V1,NSH,D,"63547.00","63547.00",2021
B3Xp0mJK,nCSTUZ,SJ,D-M,"300000.00","305000.00",2019
