FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Ignacio,Maganto,LA Galaxy,M,"60000.0","60000.0"
Mike,Magee,Chicago Fire,F,"400000.0","467500.0"
Cristian,Maidana,Philadelphia Union,F,"203500.0","217250.0"
Calum,Mallace,CF Montreal,M,"60000.0","75000.0"
Kekuta,Manneh,Vancouver Whitecaps,F,"82500.0","112000.0"
Chris,Mannella,Toronto FC,M,"60000.0","60000.0"
Anthony,Manning,Portland Timbers,D,"50000.04","50000.04"
Mauro,Manotas,Houston Dynamo,F,"60000.0","60000.0"
Kenny,Mansally,Real Salt Lake,F,"60000.0","66500.0"
Victor,Mansaray,Seattle Sounders FC,F,"50000.0","53500.0"
Justin,Mapp,CF Montreal,M,"186725.0","199225.0"
Richard,Marquez,Philadelphia Union,D,"60000.0","60000.0"
Chad,Marshall,Seattle Sounders FC,D,"275000.0","291666.67"
Collin,Martin,DC United,M,"70000.0","84166.67"
Juan Manuel,Martinez,Real Salt Lake,F,"710000.0","1108666.67"
Felipe,Martins,New York Red Bulls,M,"175000.0","207500.0"
Obafemi,Martins,Seattle Sounders FC,F,"2400000.0","3000000.0"
David,Mateos,Orlando City SC,D,"300000.0","325000.0"
Darren,Mattocks,Vancouver Whitecaps,F,"180000.0","272000.0"
Aaron,Maund,Real Salt Lake,D,"60000.0","63449.5"
John,McCarthy,Philadelphia Union,GK,"60000.0","66250.0"
Dax,McCarty,New York Red Bulls,M,"220000.0","262500.0"
Jack,McInerney,Columbus Crew,F,"270000.0","334166.67"
Ben,McKendry,Vancouver Whitecaps,M,"50000.0","50000.0"
James,McLaughlin,Philadelphia Union,M,"60000.0","60000.0"
Shawn,McLaws,New York Red Bulls,D,"50000.0","50000.0"
Thomas,McNamara,New York City FC,M,"60000.0","71500.0"
Ryan,Meara,New York City FC,GK,"71663.0","72913.0"
Tyrone,Mears,Seattle Sounders FC,D,"165000.0","174000.0"
Jimmy,Medranda,Sporting Kansas City,M,"60000.0","60000.0"
Lucas,Melano,Portland Timbers,F,"799992.0","799992.0"
Tim,Melia,Sporting Kansas City,GK,"80000.0","84203.33"
Jefferson,Mena,New York City FC,D,"200000.0","211400.0"
Raul,Mendiola,LA Galaxy,F,"60000.0","60400.0"
Justin,Meram,Columbus Crew,F,"165000.0","175000.0"
Bryan,Meredith,San Jose Earthquakes,GK,"60000.0","60000.0"
Tommy,Meyer,LA Galaxy,D,"60000.0","73750.0"
Nicolas,Mezquida,Vancouver Whitecaps,M-F,"80000.0","80000.0"
Matt,Miazga,New York Red Bulls,D,"68250.0","74500.0"
Eric,Miller,CF Montreal,M/D,"60375.0","71375.0"
Roy,Miller,New York Red Bulls,M,"200000.0","200000.0"
Leonel,Miranda,Houston Dynamo,M,"60000.0","60000.0"
Luke,Mishu,DC United,D,"50000.0","50000.0"
Trey,Mitchell,MLS Pool,GK,"50000.04","50000.04"
Kevin,Molino,Orlando City SC,M,"100000.0","111400.0"
Drew,Moor,Colorado Rapids,D,"258500.0","270500.0"
Luke,Moore,Toronto FC,F,"215000.0","235500.0"
Javier,Morales,Real Salt Lake,M,"300000.0","300000.0"
Pedro,Morales,Vancouver Whitecaps,M,"1190000.0","1410900.0"
Ashtone,Morgan,Toronto FC,D,"100000.0","112000.0"
Justin,Morrow,Toronto FC,D,"170000.0","179562.5"
Timothy,Mulgrew,New England Revolution,F,"50000.04","50000.04"
Luke,Mulholland,Real Salt Lake,M,"82500.0","83750.0"
Patrick,Mullins,New York City FC,F,"80000.0","110000.0"
Soni,Mustivar,Sporting Kansas City,M,"250000.0","250000.0"
Danny,Mwanga,Orlando City SC,F,"75000.0","82500.0"
Chance,Myers,Sporting Kansas City,D-M,"170000.0","195000.0"
Paulo,Nagamura,Sporting Kansas City,M,"230000.0","230000.0"
Darlington,Nagbe,Portland Timbers,M/F,"244000.0","263000.0"
Michael,Nanchoff,Portland Timbers,M,"60000.0","60000.0"
Lamar,Neagle,Seattle Sounders FC,M,"165000.0","167833.33"
Lewis,Neal,Orlando City SC,M,"112500.0","119103.28"
Krisztian,Nemeth,Sporting Kansas City,F,"250000.0","250000.0"
Steve,Neumann,New England Revolution,M-F,"71500.0","92750.0"
Lee,Nguyen,New England Revolution,M/F,"175000.0","193750.0"
Vincent,Nogueira,Philadelphia Union,M,"330000.0","330000.0"
Patrick,Nyarko,Chicago Fire,F,"200000.0","215750.0"
Sanna,Nyassi,San Jose Earthquakes,M,"120000.0","126250.0"
Marius,Obekop,New York Red Bulls,M,"50000.0","50000.0"
Jimmy,Ockford,Seattle Sounders FC,D,"60000.0","60000.0"
Dominic,Oduro,CF Montreal,F,"250000.0","251666.67"
Sean,Okoli,New England Revolution,F,"50000.0","50000.0"
Amobi,Okugo,Sporting Kansas City,M,"275000.0","300000.0"
Boyd,Okwuonu,Real Salt Lake,D,"60000.0","80000.0"
Rasheed,Olabiyi,Houston Dynamo,M,"60000.0","60000.0"
Jamison,Olave,Real Salt Lake,D,"290000.0","300000.0"
Ike,Opara,Sporting Kansas City,D,"115000.0","121250.0"
Kofi,Opare,DC United,D,"60000.0","60000.0"
Jonathan,Osorio,Toronto FC,M,"145000.0","152599.68"
Karl,Ouimette,New York Red Bulls,D,"60000.0","60000.0"
David,Ousted,Vancouver Whitecaps,GK,"286000.0","302570.0"
Adolfo,Ovalle,Real Salt Lake,M,"60000.0","70500.0"
Lovel,Palmer,Chicago Fire,M,"118000.0","125500.0"
Erik,Palmer-Brown,Sporting Kansas City,D,"60000.0","60500.0"
Norberto,Paparatto,Portland Timbers,D,"120000.0","120000.0"
Marco,Pappa,Seattle Sounders FC,M,"75000.0","75000.0"
Tim,Parker,Vancouver Whitecaps,D,"60000.0","78750.0"
Michael,Parkhurst,Columbus Crew,D,"275000.0","300000.0"
Taylor,Peay,Portland Timbers,D,"50000.0","50000.0"
,Pecka,Real Salt Lake,M,"60000.0","64166.67"
Marc,Pelosi,San Jose Earthquakes,M,"60000.0","72500.0"
Jeanderson,Pereira,Portland Timbers,D,"60000.0","60000.0"
Michel,Pereira,FC Dallas,M/D,"140000.0","161500.0"
Blas,Perez,FC Dallas,F,"350000.0","374250.0"
Matias,Perez,San Jose Earthquakes,M,"240000.0","240000.0"
Brian,Perk,LA Galaxy,GK,"60000.0","60000.0"
Troy,Perkins,Seattle Sounders FC,GK,"130000.0","136662.5"
Damien,Perquis,Toronto FC,D,"323000.0","372500.0"
Damien,Perrinelle,New York Red Bulls,D,"132000.0","132000.0"
Jacob,Peterson,Sporting Kansas City,F,"123500.0","130375.0"
Zach,Pfeffer,Philadelphia Union,M,"60000.0","60000.0"
Demar,Phillips,Real Salt Lake,D,"140000.0","149666.67"
Ignacio,Piatti,CF Montreal,M,"400000.0","400000.0"
Jean Baptiste,Pierazzi,San Jose Earthquakes,M,"260000.0","260000.0"
Gonzalo,Pineda,Seattle Sounders FC,M,"160000.0","160000.0"
Andrea,Pirlo,New York City FC,M,"2000004.0","2315694.0"
Lucas,Pittinari,Colorado Rapids,M,"190000.0","210000.0"
Joao,Plata,Real Salt Lake,F,"150000.0","150000.0"
Emanuel,Pogatetz,Columbus Crew,D,"250000.0","262500.0"
Kwadwo,Poku,New York City FC,M,"60000.0","63045.09"
Matt,Polster,Chicago Fire,D,"60000.0","75000.0"
Chris,Pontius,DC United,M-F,"365000.0","396000.0"
Cameron,Porter,CF Montreal,F,"50000.0","50000.0"
Alvas,Powell,Portland Timbers,D,"60000.0","68700.0"
Dillon,Powers,Colorado Rapids,M,"245000.0","275000.0"
Jordi,Quintilla,Sporting Kansas City,M,"50000.04","59525.04"
Juan Edgardo,Ramirez,Colorado Rapids,M,"75000.0","75000.0"
Rafael,Ramos,Orlando City SC,D,"50000.0","50000.0"
Tommy,Redding,Orlando City SC,D,"85000.0","92500.0"
Dylan,Remick,Seattle Sounders FC,D,"60000.0","60000.0"
Paulo,Renato,San Jose Earthquakes,D,"96000.0","96000.0"
Nigel,Reo-Coker,CF Montreal,D-M,"275000.0","275000.0"
Kyle,Reynish,New York Red Bulls,GK,"86000.0","90316.67"
Pedro,Ribeiro,Orlando City SC,M,"60000.0","60000.0"
Leonardo,Ribeiro Da Silva,LA Galaxy,D,"150000.0","155000.0"
Dane,Richards,New York Red Bulls,M,"105000.0","105000.0"
Donovan,Ricketts,LA Galaxy,GK,"260000.0","260000.0"
Liam,Ridgewell,Portland Timbers,D,"1000000.0","1150000.0"
James,Riley,Colorado Rapids,D,"77500.0","83750.0"
Nick,Rimando,Real Salt Lake,GK,"350000.0","370000.0"
Chris,Ritter,Chicago Fire,M,"60000.0","60000.0"
Carlos,Rivas,Orlando City SC,M,"60000.0","60000.0"
Sidney,Rivera,Orlando City SC,F,"50000.0","50000.0"
Octavio,Rivero,Vancouver Whitecaps,F,"890850.0","890850.0"
Quillan,Roberts,Toronto FC,GK,"60000.0","60000.0"
Jalen,Robinson,DC United,D,"70000.0","82000.0"
Luis,Robles,New York Red Bulls,GK,"130000.0","151375.0"
Bryan,Rochez,Orlando City SC,F,"200000.0","279500.0"
Diego,Rodriguez,Vancouver Whitecaps,D,"124000.0","165750.0"
Jose "Memo",Rodriguez,Houston Dynamo,M,"60000.0","60000.0"
Raul,Rodriguez,Houston Dynamo,D,"325000.0","354333.33"
Robbie,Rogers,LA Galaxy,F,"175000.0","191666.67"
Cristian,Roldan,Seattle Sounders FC,M,"80000.0","102000.0"
Chris,Rolfe,DC United,F,"210000.0","225000.0"
Andres,Romero,CF Montreal,F,"100000.0","100000.0"
David,Romney,LA Galaxy,D,"60000.0","60000.0"
Mauro,Rosales,Vancouver Whitecaps,M,"215000.0","265000.0"
Andy,Rose,Seattle Sounders FC,M,"60000.0","60000.0"
Brian,Rowe,LA Galaxy,GK,"60000.0","60000.0"
Kelyn,Rowe,New England Revolution,M,"140000.0","221000.0"
Tyler,Rudy,New England Revolution,M,"50000.0","50000.0"
Charlie,Rugg,LA Galaxy,F,"60000.0","60000.0"
Alvaro,Saborio,DC United,F,"400000.0","493333.33"
Mohammed,Saeid,Columbus Crew,M,"100000.0","110000.0"
Shea,Salinas,San Jose Earthquakes,M,"145000.0","148333.33"
Lloyd,Sam,New York Red Bulls,F,"230000.0","240000.0"
Ethen,Sampson,Vancouver Whitecaps,D,"60000.0","60000.0"
Emmanuel,Sanchez,New York Red Bulls,M,"50000.0","50000.0"
Vicente,Sanchez,Colorado Rapids,F,"210000.0","286666.67"
Devon,Sandoval,Real Salt Lake,F,"60000.0","60000.0"
CJ,Sapong,Philadelphia Union,F,"125000.0","142000.0"
Kofi,Sarkodie,Houston Dynamo,D,"190000.0","235500.0"
Marcelo,Sarvas,Colorado Rapids,M,"360000.0","425000.0"
Sebastian,Saucedo,Real Salt Lake,M,"50000.0","60500.0"
Josh,Saunders,New York City FC,GK,"90000.0","90000.0"
Gaston,Sauro,Columbus Crew,D,"583200.0","599512.5"
Aaron,Schoenfeld,Columbus Crew,F,"60000.0","60000.0"
Chris,Schuler,Real Salt Lake,D,"165000.0","182000.0"
Zach,Scott,Seattle Sounders FC,D,"65000.0","65000.0"
Michael,Seaton,Portland Timbers,F,"60000.0","63000.0"
Chris,Seitz,FC Dallas,GK,"130000.0","130000.0"
Dillon,Serna,Colorado Rapids,M,"60000.0","73000.0"
Brek,Shea,Orlando City SC,M-D,"475000.0","520000.0"
Khiry,Shelton,New York City FC,F,"70000.0","87500.0"
Mark,Sherrod,San Jose Earthquakes,F,"60000.0","60000.0"
Harrison,Shipp,Chicago Fire,F,"87500.0","112500.0"
Robert,Shuttleworth,New England Revolution,GK,"101250.0","111250.0"
Luis,Silva,Real Salt Lake,M,"131384.0","162634.0"
Matheus,Silva,San Jose Earthquakes,,"50000.04","50000.04"
Clement,Simonin,Toronto FC,D,"60000.0","60000.0"
Seth,Sinovic,Sporting Kansas City,M-D,"140000.0","146750.0"
Axel,Sjoberg,Colorado Rapids,D,"60000.0","75000.0"
Donnie,Smith,New England Revolution,M,"60000.0","60000.0"
Jordan,Smith,Vancouver Whitecaps,D,"95000.04","102743.04"
Luis,Solignac,Colorado Rapids,F,"65004.0","65004.0"
Oscar,Sorto,LA Galaxy,D,"60000.0","61875.0"
Bakary,Soumare,FC Dallas,D,"225000.0","225000.0"
Trevor,Spangenberg,New England Revolution,GK,"50000.0","50000.0"
Ben,Speas,Columbus Crew,F,"68355.0","68355.0"
Sean,St. Ledger,Colorado Rapids,D,"124992.0","147492.0"
Zach,Steinberger,Houston Dynamo,M,"60000.0","76250.0"
Kristinn,Steindorsson,Columbus Crew,M,"105000.0","119437.5"
Michael,Stephens,Chicago Fire,M,"95000.0","105000.0"
Khari,Stephenson,San Jose Earthquakes,M,"68254.2","71645.94"
John,Stertzer,Real Salt Lake,M,"60000.0","69166.67"
Jordan,Stewart,San Jose Earthquakes,M-D,"150000.0","150000.0"
Leo,Stolz,New York Red Bulls,M,"70000.0","86250.0"
Nathan,Sturgis,Houston Dynamo,D-M,"71250.0","75375.0"
Brad,Stuver,Columbus Crew,GK,"60000.0","60000.0"
Ben,Swanson,Columbus Crew,M,"60000.0","80416.67"
Brian,Sylvestre,Philadelphia Union,GK,"60000.0","60000.0"
Jose Angel,Tasende,New York City FC,D,"60000.0","60000.0"
Jermaine,Taylor,Houston Dynamo,D,"203500.0","213000.0"
Tony,Taylor,New York City FC,F,"75000.0","84375.0"
Tony,Tchani,Columbus Crew,M,"170000.0","195000.0"
Cristian,Techera,Vancouver Whitecaps,F,"60000.0","85000.0"
Russell,Teibert,Vancouver Whitecaps,M,"100000.0","167500.0"
David,Texeira,FC Dallas,F,"338000.0","338000.0"
Andy,Thoma,Portland Timbers,D-M,"60000.0","75000.0"
Tommy,Thompson,San Jose Earthquakes,M,"140000.0","145000.0"
Chris,Tierney,New England Revolution,D-M,"110000.0","113333.33"
Maxim,Tissot,CF Montreal,D,"60000.0","60000.0"
Donny,Toia,CF Montreal,D,"60000.0","60000.0"
Paolo,Tornaghi,Vancouver Whitecaps,GK,"80000.0","80000.0"
Erick,Torres,Houston Dynamo,F,"350000.0","425000.0"
Gabriel,Torres,Colorado Rapids,F,"262000.0","274500.0"
Roman,Torres,Seattle Sounders FC,D,"438000.0","513812.5"
Wil,Trapp,Columbus Crew,M,"137500.0","164500.0"
Schillo,Tshuma,MLS Pool,F,"85000.0","123000.0"
Tyler,Turner,Orlando City SC,D,"60000.0","60000.0"
Victor,Ulloa,FC Dallas,M,"60000.0","60000.0"
Maximiliano,Urruti,Portland Timbers,F,"200000.04","200000.04"
Nelson,Valdez,Seattle Sounders FC,F,"960000.0","1215000.0"
Diego,Valeri,Portland Timbers,M,"550000.0","550000.0"
Elias,Vasquez,Real Salt Lake,D,"110000.0","122136.67"
Mika,Vayrynen,LA Galaxy,M,"204996.0","227496.0"
Sebastian,Velasquez,New York City FC,M,"60000.0","60000.0"
Johan,Venegas,CF Montreal,M,"120000.0","132500.0"
Gonzalo,Veron,New York Red Bulls,M-F,"200004.0","200004.0"
David,Villa,New York City FC,F,"5610000.0","5610000.0"
