FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Giacomo,Vrioni,CF Montreal,F,"2,000,000.00","2,247,500.00"
Joel,Waterman,CF Montreal,D,"474,250.00","555,400.00"
Dominik,Yankov,CF Montreal,M,"375,000.00","410,000.00"
Gena,Synchuk,CF Montreal,F,"600,000.00","606,000.00"
Liel,Abada,Charlotte FC,F,"2,400,000.00","2,548,500.00"
Patrick,Agyemang,Charlotte FC,F,"104,000.00","104,000.00"
Nimfasha,Berchimas,Charlotte FC,F,"110,000.00","124,934.00"
Pep,Biel,Charlotte FC,M,"1,299,999.96","1,545,162.96"
David,Bingham,Charlotte FC,GK,"104,000.00","104,000.00"
Brandt,Bronico,Charlotte FC,M,"350,000.00","389,000.00"
Nathan,Byrne,Charlotte FC,D,"475,000.00","498,750.00"
Brandon,Cambridge,Charlotte FC,F,"125,000.00","133,026.00"
Djibril,Diani,Charlotte FC,M,"300,000.00","337,944.00"
Souleyman,Doumbia,Charlotte FC,D,"500,000.00","541,250.00"
Jahlane,Forbes,Charlotte FC,D,"80,622.00","80,622.00"
Nick,Holliday,Charlotte FC,GK,"80,622.00","80,622.00"
Kristijan,Kahlina,Charlotte FC,GK,"750,000.00","788,750.00"
Adilson,Malanda,Charlotte FC,D,"900,000.00","1,080,000.00"
George,Marks,Charlotte FC,GK,"104,000.00","104,000.00"
Jack,Neeley,Charlotte FC,D,"104,000.00","106,000.00"
Chituru,Odunze,Charlotte FC,GK,"104,000.00","117,508.00"
Nikola,Petković,Charlotte FC,M,"420,000.00","466,250.00"
Andrew,Privett,Charlotte FC,D,"220,000.00","251,400.00"
Tim,Ream,Charlotte FC,D,"1,000,000.00","1,127,750.00"
João Pedro,Reginaldo,Charlotte FC,D,"104,000.00","115,595.00"
Brian,Romero,Charlotte FC,F,"125,000.00","135,833.00"
Nick,Scardina,Charlotte FC,D,"104,000.00","104,000.00"
Tyger,Smalls,Charlotte FC,F,"80,622.00","80,622.00"
Iuri,Tavares,Charlotte FC,F,"104,000.00","116,053.00"
Mikah,Thomas,Charlotte FC,D,"80,622.00","81,025.00"
Idan,Toklomati,Charlotte FC,F,"415,000.00","452,700.00"
Bill,Tuiloma,Charlotte FC,D,"500,000.00","524,938.00"
Kerwin,Vargas,Charlotte FC,F,"600,000.00","683,750.00"
Ashley,Westwood,Charlotte FC,M,"750,000.00","783,333.00"
Eryk,Williamson,Charlotte FC,M,"775,000.00","775,000.00"
Wilfried,Zaha,Charlotte FC,F,"2,666,667.00","2,751,667.00"
Kellyn,Acosta,Chicago Fire,M,"1,461,796.00","1,628,477.00"
Jonathan,Bamba,Chicago Fire,F,"5,000,000.00","5,581,806.00"
Tom,Barlow,Chicago Fire,F,"300,000.00","330,000.00"
Leonardo,Barroso,Chicago Fire,D,"300,000.00","345,500.00"
Dean,Boltz,Chicago Fire,F,"80,622.00","82,622.00"
Dylan,Borso,Chicago Fire,M,"80,622.00","88,622.00"
Chris,Brady,Chicago Fire,GK,"249,996.00","273,246.00"
Christopher,Cupps,Chicago Fire,D,"80,622.00","83,408.00"
Hugo,Cuypers,Chicago Fire,F,"3,238,000.00","3,528,044.00"
Djé,D'Avilla,Chicago Fire,M,"548,004.00","660,490.00"
Jonathan,Dean,Chicago Fire,D,"130,000.00","138,167.00"
Bryan,Dowd,Chicago Fire,GK,"80,622.00","80,622.00"
Jack,Elliott,Chicago Fire,D,"914,773.00","1,008,537.00"
Jeff,Gal,Chicago Fire,GK,"140,000.00","140,000.00"
Chase,Gasper,Chicago Fire,D,"575,000.00","600,000.00"
Omari,Glasgow,Chicago Fire,M,"104,000.00","117,685.00"
Omar,González,Chicago Fire,D,"104,000.00","123,333.00"
Brian,Gutiérrez,Chicago Fire,M,"857,955.00","950,425.00"
Andrew,Gutman,Chicago Fire,D,"600,000.00","600,000.00"
Maren,Haile-Selassie,Chicago Fire,M,"388,000.00","427,500.00"
Rominigue,Kouamé,Chicago Fire,M,"600,000.00","690,000.00"
Georgios,Koutsias,Chicago Fire,F,"470,800.00","470,800.00"
Chris,Mueller,Chicago Fire,F,"699,996.00","762,316.00"
Sergio,Oregel,Chicago Fire,M,"113,400.00","113,400.00"
Mauricio,Pineda,Chicago Fire,D,"355,000.00","386,220.00"
David,Poreba,Chicago Fire,M,"80,622.00","88,747.00"
